2022-03-01 18:39:21.496;2022-03-01 18:46:57.406; Duration: 0:07:36;EM1S2-TASK [Upgrade the schema to level 3 and 4 on Both Primary and Secondary DB]
2022-03-01 18:48:53.326;2022-03-01 18:50:24.937; Duration: 0:01:31;EM1S2-TASK [Start Secondary System Manager (SM) instance]
2022-03-01 18:51:03.172;2022-03-01 18:51:34.636; Duration: 0:00:31;EM1S2-TASK [Start Accounting Manager (AM) instance]
2022-03-01 18:51:58.993;2022-03-01 18:54:00.667; Duration: 0:02:02;EM1S2-TASK [Start Prov Manager (PROV) instance]
2022-03-01 18:54:15.586;2022-03-01 18:56:15.555; Duration: 0:02:00;EM1S2-TASK [Init AIDE Enablement]
2022-03-01 07:34:30.226;2022-03-01 07:35:40.266; Duration: 0:01:10;EM1S2-TASK [Create backup on primary]
2022-03-01 07:35:48.871;2022-03-01 07:36:20.527; Duration: 0:00:32;EM1S2-TASK [Check peer NEs state]
2022-03-01 07:39:30.101;2022-03-01 07:40:00.133; Duration: 0:00:30;EM1S2-TASK [Wait 30 secs for Active Instance of SM]
2022-03-01 07:40:00.233;2022-03-01 07:40:30.266; Duration: 0:00:30;EM1S2-TASK [Wait 30 secs for Active Instance of SM]
2022-03-01 07:40:50.838;2022-03-01 12:03:21.375; Duration: 4:22:31;EM1S2-TASK [Run partDBFromCluster.pl script]
2022-03-01 12:06:36.986;2022-03-01 12:07:07.020; Duration: 0:00:31;EM1S2-TASK [Wait 30 secs for Active Instance of SM]
2022-03-01 12:07:18.259;2022-03-01 12:07:48.302; Duration: 0:00:30;EM1S2-TASK [Wait 30 secs for Active Instance of SM]
2022-03-01 13:51:42.984000;2022-03-01 13:52:16.315000; Duration: 0:00:34;PA1S1-TASK [Configure DSCP Marking]
2022-03-01 13:54:23.773;2022-03-01 13:55:55.395; Duration: 0:01:32;PA1S1-TASK [Start Personal Agent (PA) Manager instance]
2022-03-01 13:56:08.378;2022-03-01 13:58:10.423; Duration: 0:02:02;PA1S1-TASK [Init AIDE Enablement]
2022-03-01 19:20:02.644000;2022-03-01 19:20:36.607000; Duration: 0:00:34;PA1S2-TASK [Configure DSCP Marking]
2022-03-01 19:22:45.016;2022-03-01 19:24:46.596; Duration: 0:02:01;PA1S2-TASK [Start Personal Agent (PA) Manager instance]
2022-03-01 19:25:00.345;2022-03-01 19:27:05.048; Duration: 0:02:05;PA1S2-TASK [Init AIDE Enablement]
2022-03-01 13:51:11.243000;2022-03-01 13:51:43.168000; Duration: 0:00:32;SES1S1-TASK [Configure DSCP Marking]
2022-03-01 13:53:36.023;2022-03-01 13:55:07.585; Duration: 0:01:31;SES1S1-TASK [Start Session Manager (SESM) instance]
2022-03-01 13:55:24.329;2022-03-01 13:56:40.176; Duration: 0:01:16;SES1S1-TASK [Init AIDE Enablement]
2022-03-01 19:19:24.026000;2022-03-01 19:19:56.187000; Duration: 0:00:32;SES1S2-TASK [Configure DSCP Marking]
2022-03-01 19:21:33.558;2022-03-01 19:23:05.211; Duration: 0:01:32;SES1S2-TASK [Start Session Manager (SESM) instance]
