,Task,Start,Finish
155,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:05,2022-03-01 15:40:34.358,2022-03-01 15:42:39.497
156,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:06,2022-03-01 15:42:44.991,2022-03-01 15:44:50.107
157,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:06,2022-03-01 15:44:55.692,2022-03-01 15:47:01.013
158,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:05,2022-03-01 15:47:07.520,2022-03-01 15:49:12.159
159,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:05,2022-03-01 15:49:17.876,2022-03-01 15:51:22.734
160,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:05,2022-03-01 15:51:28.383,2022-03-01 15:53:33.554
161,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:04,2022-03-01 15:53:39.250,2022-03-01 15:55:43.915
162,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:01:33,2022-03-01 15:55:50.282,2022-03-01 15:57:23.326
163,stackAPI[Fail if failed > 0. or (unreachable > 0 AND no done_str)]  Duration: 0:12:46,2022-03-01 15:57:37.690,2022-03-01 16:10:23.289
164,stackAPI[Fetch message log files]  Duration: 0:00:47,2022-03-01 16:10:57.592,2022-03-01 16:11:44.877
165,stackAPI[Generate ISO file - ASTL5HOST4-SES1S2-cidata.iso]  Duration: 0:00:32,2022-03-01 16:12:03.561,2022-03-01 16:12:35.981
166,stackAPI[Copy image to /var/lib/libvirt/images/ASTL5HOST4-PA1S2]  Duration: 0:00:38,2022-03-01 16:12:50.257,2022-03-01 16:13:28.309
167,stackAPI[Copy MCP-22.0.0.0.4184.qcow2 image to ASTL5HOST4-SES1S2 VM dir on kvm_provider_access_ASTL54 host]  Duration: 0:00:40,2022-03-01 16:13:42.772,2022-03-01 16:14:22.618
168,stackAPI[Copy MCP-22.0.0.0.4184.qcow2 image to ASTL5HOST4-PA1S2 VM dir on kvm_provider_access_ASTL54 host]  Duration: 0:00:41,2022-03-01 16:15:04.673,2022-03-01 16:15:45.533
169,stackAPI[Successfully started the VM : ASTL5HOST4-PA1S2]  Duration: 0:00:33,2022-03-01 16:16:09.395,2022-03-01 16:16:42.480
170,stackAPI[Wait for system to become reachable]  Duration: 0:01:21,2022-03-01 16:16:42.480,2022-03-01 16:18:03.789
171,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:05:36,2022-03-01 16:19:12.519,2022-03-01 16:24:48.830
172,stackAPI[Check if 'PLAY RECAP' in as-commissioning.log - 2 mins/try]  Duration: 0:02:09,2022-03-01 16:25:04.112,2022-03-01 16:27:13.028
173,stackAPI[Fail if failed > 0. or (unreachable > 0 AND no done_str)]  Duration: 0:07:56,2022-03-01 16:27:42.655,2022-03-01 16:35:38.415
174,stackAPI[Wait for system to become reachable]  Duration: 0:01:10,2022-03-01 16:35:38.415,2022-03-01 16:36:48.591
